Datos de quicksort:
Tamaño del vector:2	Inicio:1319	Final:1321	Tiempo de ordenación:0.000002
Tamaño del vector:4	Inicio:1354	Final:1355	Tiempo de ordenación:0.000001
Tamaño del vector:8	Inicio:1360	Final:1361	Tiempo de ordenación:0.000001
Tamaño del vector:16	Inicio:1365	Final:1368	Tiempo de ordenación:0.000003
Tamaño del vector:32	Inicio:1372	Final:1376	Tiempo de ordenación:0.000004
Tamaño del vector:64	Inicio:1382	Final:1391	Tiempo de ordenación:0.000009
Tamaño del vector:128	Inicio:1399	Final:1421	Tiempo de ordenación:0.000022
Tamaño del vector:256	Inicio:1432	Final:1476	Tiempo de ordenación:0.000044
Tamaño del vector:512	Inicio:1500	Final:1611	Tiempo de ordenación:0.000111
Tamaño del vector:1024	Inicio:1653	Final:1885	Tiempo de ordenación:0.000232
Tamaño del vector:2048	Inicio:1956	Final:2422	Tiempo de ordenación:0.000466
Tamaño del vector:4096	Inicio:2560	Final:3641	Tiempo de ordenación:0.001081
Tamaño del vector:8192	Inicio:3913	Final:6233	Tiempo de ordenación:0.002320
Tamaño del vector:16384	Inicio:6780	Final:11675	Tiempo de ordenación:0.004895
Tamaño del vector:32768	Inicio:12824	Final:20293	Tiempo de ordenación:0.007469
Tamaño del vector:65536	Inicio:21360	Final:30750	Tiempo de ordenación:0.009390
Tamaño del vector:131072	Inicio:32658	Final:53785	Tiempo de ordenación:0.021127
Tamaño del vector:262144	Inicio:57688	Final:101525	Tiempo de ordenación:0.043837
Tamaño del vector:524288	Inicio:109200	Final:200431	Tiempo de ordenación:0.091231
Tamaño del vector:1048576	Inicio:215602	Final:406355	Tiempo de ordenación:0.190753
Tamaño del vector:2097152	Inicio:436551	Final:834951	Tiempo de ordenación:0.398400
Tamaño del vector:4194304	Inicio:895661	Final:1734060	Tiempo de ordenación:0.838399
Tamaño del vector:8388608	Inicio:1855558	Final:3605472	Tiempo de ordenación:1.749914
Tamaño del vector:16777216	Inicio:3848707	Final:7881184	Tiempo de ordenación:4.032477
Tamaño del vector:33554432	Inicio:8380632	Final:16042191	Tiempo de ordenación:7.661559
Tamaño del vector:67108864	Inicio:17020218	Final:33283236	Tiempo de ordenación:16.263018
Tamaño del vector:134217728	Inicio:35244135	Final:68254348	Tiempo de ordenación:33.010213
Tamaño del vector:268435456	Inicio:72111921	Final:141024248	Tiempo de ordenación:68.912327
Tamaño del vector:536870912	Inicio:148822348	Final:292338714	Tiempo de ordenación:143.516366
Tamaño del vector:1073741824	Inicio:307776385	Final:599870171	Tiempo de ordenación:292.093786
